setting,iterations,mgf_prob_q1,mgf_det,rel_diff,mgf_reference,reference_iters,maf,mief,random,M,N,km,B,T,gamma,seed
ErrorVsChannel,1,19.67252978476232,19.672529784762315,3.6118523826581106e-16,17.296651838425582,10000,18.40627499169977,17.313193864562702,18.62196381835513,20,10,2,20,100,0.9,0
ErrorVsChannel,2,19.60880321065318,19.60880321065317,3.6235905278198554e-16,17.296651838425582,10000,18.40627499169977,17.313193864562702,18.62196381835513,20,10,2,20,100,0.9,0
ErrorVsChannel,4,18.968569145480284,18.96856914548029,3.7458952771319935e-16,17.296651838425582,10000,18.40627499169977,17.313193864562702,18.62196381835513,20,10,2,20,100,0.9,0
ErrorVsChannel,8,17.292480239770388,17.29248023977038,4.108969482156217e-16,17.296651838425582,10000,18.40627499169977,17.313193864562702,18.62196381835513,20,10,2,20,100,0.9,0
ErrorVsChannel,16,17.60046823066726,17.600468230667264,2.018533616401187e-16,17.296651838425582,10000,18.40627499169977,17.313193864562702,18.62196381835513,20,10,2,20,100,0.9,0
ErrorVsChannel,32,17.28869940691757,17.288699406917562,4.109868064891894e-16,17.296651838425582,10000,18.40627499169977,17.313193864562702,18.62196381835513,20,10,2,20,100,0.9,0
ErrorVsChannelsmodel,1,122.43989437267247,122.43989437267244,2.321278499628244e-16,67.2066513170129,10000,525.2258732842337,52.687604085991886,2603.2017058524334,20,10,9,20,100,0.9,0
ErrorVsChannelsmodel,2,121.2178712883143,121.21787128831424,4.689359601572827e-16,67.2066513170129,10000,525.2258732842337,52.687604085991886,2603.2017058524334,20,10,9,20,100,0.9,0
ErrorVsChannelsmodel,4,117.20791306908221,117.20791306908214,6.062242020650103e-16,67.2066513170129,10000,525.2258732842337,52.687604085991886,2603.2017058524334,20,10,9,20,100,0.9,0
ErrorVsChannelsmodel,8,110.97320626868073,110.97320626868073,0.0,67.2066513170129,10000,525.2258732842337,52.687604085991886,2603.2017058524334,20,10,9,20,100,0.9,0
ErrorVsChannelsmodel,16,107.95461647934732,107.95461647934735,2.63274608880122e-16,67.2066513170129,10000,525.2258732842337,52.687604085991886,2603.2017058524334,20,10,9,20,100,0.9,0
ErrorVsChannelsmodel,32,84.70296204429724,84.70296204429722,1.677728189454575e-16,67.2066513170129,10000,525.2258732842337,52.687604085991886,2603.2017058524334,20,10,9,20,100,0.9,0
ErrorVsSources,1,68.93301888990125,68.93301888990125,0.0,28.601651467020325,10000,55.56709036931809,29.071325058388066,994.3212043493857,10,10,9,20,100,0.9,0
ErrorVsSources,2,65.85266280695858,65.85266280695855,4.315954468495737e-16,28.601651467020325,10000,55.56709036931809,29.071325058388066,994.3212043493857,10,10,9,20,100,0.9,0
ErrorVsSources,4,57.9224739691917,57.922473969191664,6.13356687887691e-16,28.601651467020325,10000,55.56709036931809,29.071325058388066,994.3212043493857,10,10,9,20,100,0.9,0
ErrorVsSources,8,54.17639541904336,54.176395419043345,2.6230712850649594e-16,28.601651467020325,10000,55.56709036931809,29.071325058388066,994.3212043493857,10,10,9,20,100,0.9,0
ErrorVsSources,16,49.407930855847795,49.40793085584779,1.4381147387717167e-16,28.601651467020325,10000,55.56709036931809,29.071325058388066,994.3212043493857,10,10,9,20,100,0.9,0
ErrorVsSources,32,48.75506948450969,48.75506948450969,0.0,28.601651467020325,10000,55.56709036931809,29.071325058388066,994.3212043493857,10,10,9,20,100,0.9,0
