Number of Sources,Random,MAF,MEF,MGF
2,594.3427049765594,84.73118151159903,45.68756894361327,42.361442931898736
4,845.5236668466381,103.32465191565844,79.93753723769348,48.56979561578072
6,1445.8134746156418,125.63064909479405,106.88777065911422,56.94004796265091
8,1641.6602523634024,278.52616839553343,76.10694327259058,58.72721319288629
10,2411.557747025326,564.991562398014,63.36742028380887,53.291780930628065
12,2963.8139915411116,1191.7916020297012,72.78910523989475,62.95463957639572
14,2796.54389758239,1572.0648766857207,78.7437611217264,64.10886516705915
16,3313.445526727051,2436.325059784143,99.91801859958045,82.72809736434115
18,3428.2166914475833,3140.582013771654,111.51041366718721,84.40144991779626
20,3801.091830649224,3315.0196971914565,122.92242673981809,96.02829790701726
